iter	Passed	Remaining
904	11824	1241
905	11834	1227
906	11846	1214
907	11858	1201
908	11867	1188
909	11878	1174
910	11890	1161
911	11907	1148
912	11923	1136
913	11931	1122
914	11943	1109
915	11955	1096
916	11967	1083
917	11976	1069
918	11988	1056
919	11996	1043
920	12009	1030
921	12022	1017
922	12034	1003
923	12044	990
924	12058	977
925	12073	964
926	12088	951
927	12102	939
928	12116	926
929	12132	913
930	12147	900
931	12157	887
932	12172	874
933	12184	860
934	12192	847
935	12205	834
936	12216	821
937	12224	808
938	12235	794
939	12246	781
940	12254	768
941	12266	755
942	12277	742
943	12287	728
944	12298	715
945	12306	702
946	12319	689
947	12335	676
948	12347	663
949	12358	650
950	12367	637
951	12378	624
952	12387	610
953	12400	597
954	12411	584
955	12420	571
956	12430	558
957	12443	545
958	12456	532
959	12471	519
960	12482	506
961	12497	493
962	12510	480
963	12523	467
964	12536	454
965	12546	441
966	12559	428
967	12573	415
968	12586	402
969	12595	389
970	12607	376
971	12619	363
972	12627	350
973	12639	337
974	12650	324
975	12659	311
976	12670	298
977	12682	285
978	12691	272
979	12702	259
980	12710	246
981	12723	233
982	12736	220
983	12754	207
984	12766	194
985	12775	181
986	12788	168
987	12799	155
988	12807	142
989	12820	129
990	12830	116
991	12840	103
992	12853	90
993	12866	77
994	12880	64
995	12889	51
996	12901	38
997	12915	25
998	12927	12
999	12944	0
